ID,NL,MR,ALIGNMENT,MONOTONIC
0,please explain fare code f,answer(fare_basis_code(f)),"('please', 'ε'), ('explain', 'answer'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('f', 'f')",1
1,what is fare code h,answer(fare_basis_code(h)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('h', 'h')",0
2,what does fare code q mean,answer(fare_basis_code(q)),"('what', 'answer'), ('does', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('q', 'q'), ('mean', 'ε')",1
3,what is fare code h,answer(fare_basis_code(h)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('h', 'h')",0
4,what does fare code m mean,answer(fare_basis_code(m)),"('what', 'answer'), ('does', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('m', 'm'), ('mean', 'ε')",1
5,what is fare code h,answer(fare_basis_code(h)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('h', 'h')",0
6,what is fare code h,answer(fare_basis_code(h)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('h', 'h')",1
7,what is booking class c,answer(fare_basis_code(c)),"('what', 'answer'), ('is', 'ε'), ('booking', 'fare_basis_code'), ('class', 'ε'), ('c', 'c')",0
8,explain the fare code q,answer(fare_basis_code(q)),"('explain', 'answer'), ('the', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('q', 'q')",1
9,what is fare code h,answer(fare_basis_code(h)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('h', 'h')",0
10,what is fare code h,answer(fare_basis_code(h)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('h', 'h')",1
11,what does code y mean,answer(fare_basis_code(y)),"('what', 'answer'), ('does', 'ε'), ('code', 'fare_basis_code'), ('y', 'y'), ('mean', 'ε')",0
12,what is fare code c,answer(fare_basis_code(c)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('c', 'c')",1
13,what is fare code y mean,answer(fare_basis_code(y)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('y', 'y'), ('mean', 'ε')",0
14,what is fare code h,answer(fare_basis_code(h)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('h', 'h')",1
15,what does the fare code f mean,answer(fare_basis_code(f)),"('what', 'answer'), ('does', 'ε'), ('the', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('f', 'f'), ('mean', 'ε')",0
16,what does the fare code f mean,answer(fare_basis_code(f)),"('what', 'answer'), ('does', 'ε'), ('the', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('f', 'f'), ('mean', 'ε')",1
17,what does fare code y mean,answer(fare_basis_code(y)),"('what', 'answer'), ('does', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('y', 'y'), ('mean', 'ε')",0
18,what is fare code f,answer(fare_basis_code(f)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('f', 'f')",1
19,what is fare code f,answer(fare_basis_code(f)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('f', 'f')",0
20,what is fare code m,answer(fare_basis_code(m)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('m', 'm')",1
21,what is fare class h,answer(fare_basis_code(h)),"('what', 'answer'), ('is', 'ε'), ('fare', 'fare_basis_code'), ('class', 'ε'), ('h', 'h')",0
22,what is the meaning of meal code s,answer(meal_code(s)),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('meaning', 'meal_code'), ('of', 'ε'), ('meal', 'ε'), ('code', 'ε'), ('s', 's')",1
23,what is fare code h,answer(fare_basis_code(h)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('h', 'h')",0
24,what is fare code q,answer(fare_basis_code(q)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('q', 'q')",1
25,what does the fare code y mean,answer(fare_basis_code(y)),"('what', 'answer'), ('does', 'ε'), ('the', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('y', 'y'), ('mean', 'ε')",0
26,what does fare code y mean,answer(fare_basis_code(y)),"('what', 'answer'), ('does', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('y', 'y'), ('mean', 'ε')",1
27,what is the fare code y and what is the fare code h,answer(fare_basis_code(h)),"('what', 'answer'), ('is', 'ε'), ('the', 'ε'), ('fare', 'ε'), ('code', 'ε'), ('y', 'ε'), ('and', 'ε'), ('what', 'ε'), ('is', 'ε'), ('the', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('h', 'h')",0
28,what is fare code f,answer(fare_basis_code(f)),"('what', 'answer'), ('is', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('f', 'f')",1
29,fare code y what does that mean,answer(fare_basis_code(y)),"('fare', 'ε'), ('code', 'fare_basis_code'), ('y', 'y'), ('what', 'answer'), ('does', 'ε'), ('that', 'ε'), ('mean', 'ε')",0
30,what is sa,answer(days_code(sa)),"('what', 'answer'), ('is', 'ε'), ('sa', 'days_code'), ('ε', 'sa')",1
31,what does fare code qx mean,answer(fare_basis_code(qx)),"('what', 'answer'), ('does', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('qx', 'qx'), ('mean', 'ε')",0
32,what does s/ designate as a meal,answer(meal_code(s_)),"('what', 'answer'), ('does', 'ε'), ('s/', 's_'), ('designate', 'meal_code'), ('as', 'ε'), ('a', 'ε'), ('meal', 'ε')",1
33,what does ea mean,answer(airline_code(ea)),"('what', 'answer'), ('does', 'ε'), ('ea', 'ea'), ('mean', 'airline_code')",0
34,what does fare code qo mean,answer(fare_basis_code(qo)),"('what', 'answer'), ('does', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('qo', 'qo'), ('mean', 'ε')",1
35,what airline uses the code hp,answer(airline_code(hp)),"('what', 'answer'), ('airline', 'airline_code'), ('uses', 'ε'), ('the', 'ε'), ('code', 'ε'), ('hp', 'hp')",0
36,airline code as,answer(airline_code(as)),"('airline', 'airline_code'), ('code', 'answer'), ('as', 'as')",1
37,what airline is ac,answer(airline_code(ac)),"('what', 'answer'), ('airline', 'airline_code'), ('is', 'ε'), ('ac', 'ac')",0
38,what does the meal code s/ stand for,answer(meal_code(s_)),"('what', 'answer'), ('does', 'ε'), ('the', 'ε'), ('meal', 'ε'), ('code', 'ε'), ('s/', 's_'), ('stand', 'meal_code'), ('for', 'ε')",1
39,explain fare code qx,answer(fare_basis_code(qx)),"('explain', 'answer'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('qx', 'qx')",0
40,what does fare code qo mean,answer(fare_basis_code(qo)),"('what', 'answer'), ('does', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('qo', 'qo'), ('mean', 'ε')",1
41,what airline is as,answer(airline_code(as)),"('what', 'answer'), ('airline', 'airline_code'), ('is', 'ε'), ('as', 'as')",0
42,what does fare code qo mean,answer(fare_basis_code(qo)),"('what', 'answer'), ('does', 'ε'), ('fare', 'ε'), ('code', 'fare_basis_code'), ('qo', 'qo'), ('mean', 'ε')",1
43,what does the abbreviation co mean,answer(airline_code(co)),"('what', 'answer'), ('does', 'ε'), ('the', 'ε'), ('abbreviation', 'airline_code'), ('co', 'co'), ('mean', 'ε')",0
44,what does ua stand for,answer(airline_code(ua)),"('what', 'answer'), ('does', 'ε'), ('ua', 'ua'), ('stand', 'airline_code'), ('for', 'ε')",1
45,what does co mean,answer(airline_code(co)),"('what', 'answer'), ('does', 'ε'), ('co', 'co'), ('mean', 'airline_code')",0
46,what is ua,answer(airline_code(ua)),"('what', 'answer'), ('is', 'ε'), ('ua', 'airline_code'), ('ε', 'ua')",1
47,what is ff,answer(airline_code(ff)),"('what', 'answer'), ('is', 'ε'), ('ff', 'airline_code'), ('ε', 'ff')",0
48,what is dl,answer(airline_code(dl)),"('what', 'answer'), ('is', 'ε'), ('dl', 'airline_code'), ('ε', 'dl')",1
49,what is hp,answer(airline_code(hp)),"('what', 'answer'), ('is', 'ε'), ('hp', 'airline_code'), ('ε', 'hp')",0
50,what does ea mean,answer(airline_code(ea)),"('what', 'answer'), ('does', 'ε'), ('ea', 'ea'), ('mean', 'airline_code')",1
51,what does the airline code dl stand for,answer(airline_code(dl)),"('what', 'answer'), ('does', 'ε'), ('the', 'ε'), ('airline', 'airline_code'), ('code', 'ε'), ('dl', 'dl'), ('stand', 'ε'), ('for', 'ε')",0
52,what is ff,answer(airline_code(ff)),"('what', 'answer'), ('is', 'ε'), ('ff', 'airline_code'), ('ε', 'ff')",1
53,could you tell me what the abbreviation us stands for,answer(airline_code(us)),"('could', 'ε'), ('you', 'ε'), ('tell', 'ε'), ('me', 'ε'), ('what', 'answer'), ('the', 'ε'), ('abbreviation', 'airline_code'), ('us', 'ε'), ('stands', 'us'), ('for', 'ε')",0
54,what does ls stand for,answer(meal_code(ls)),"('what', 'answer'), ('does', 'ε'), ('ls', 'ls'), ('stand', 'meal_code'), ('for', 'ε')",1
55,airline that stands for dl,answer(airline_code(dl)),"('airline', 'answer'), ('that', 'ε'), ('stands', 'airline_code'), ('for', 'ε'), ('dl', 'dl')",0
